Test_Case,TC_Setup,TC_Steps,TC_Expected_Results,TC_Primary_Domain,TC_Secondary_Domain,TC_Component,TC_Labels
MCA-46127,"0. Insert SIM card which has STK enabled.

STK: SimCard Tool Kit","0. Unplugin SIM card, check STK icon in app tray
","0. STK icon should be gone after unplugin SIM card
",Modem,STK,"Telephony,UX",Android_O_updated BB8_not_applicable FEATURE-1160 Latam_Reg Plat_Reg common_validation_reg execute_local_network non_vzw product_validation_reg
MCA-462264,0. Have two SIM Cards in DUT(with different Service Provider Name).,"0. 1. Power up device.
2. Go to Sim Cards menu.

","0. 1. DUT must be powered up .
2. SPN will show the carrier information for each sim card.",Dual SIM,DS Settings,Dual Sim,Android_O_updated Android_Q_updated DSDS_Reg EDA PRC_MSimSettings common_validation_reg network_dependent no_efficiency
MCA-462265,0. Have two SIM Cards in DUT(with the same SPN).,"0. 1. Power up device.
2. Go to Sim Cards menu","0. 1. DUT must be power up.
2. SPN will show the carrier information for each sim card.",Dual SIM,DS Settings,Dual Sim,Android_O_updated Android_Q_updated DSDS_Reg EDA PRC_MSimSettings common_validation_reg network_dependent
MCA-462267,"0. - Have two SIM Cards in DUT

- Dual SIM usage profile is set to Manual with no Manually assigned contacts and calls, message and data set to SIM 1, and Calls set to Always Ask","0. 1. Check if Service Provider Name - SPN is set in DUT.
2. Remove SIM Card 1 and check SPN.
3. Repeat steps for SIM Card 2.","0. 1. Operator name is shown on notification bar
2. SIM Card is removed without any issue and operater name is not shown at the bottom of the notification list.
3.1. Call is set to ""Ask every time""
3.2. Message is set to SIM card 2 and a pop-up ""Update preferred SIM card?"" is displayed to the user informing that has only one SIM card on the device to make calls, SMS, and use data",Dual SIM,DS Settings,Dual Sim,Android_O_updated Android_Q_updated DSDS_Reg EDA EDA_updated PRC_MSimSettings common_validation_reg no_efficiency non_network_dependent
MCA-462268,"0. Advanced calling is enabled
VoWifi is enabled
A video call contact is on recent calls

Note: For 2021Q2 or any latest build, Advance calling is removed from settings. Wi-Fi Calling Settings and Video On/Off Settings are under Call Settings.","0. Go settings -> Advanced calling and disable advanced calling
1. Press home button, then go Dialer
2. Call a contact, from recent calls, with video call capability, when prompt is shown to enable Advanced calling, confirm","0. Feature is disabled
1. Dialer is launched fine
2. Advanced calling is enabled and the call is made properly",VoLTE,VoLTE Voice Call,"Modem,VoLTE",BB8 CR_updated EDA EDA_updated FEATURE-4980 FEATURE-6220 FEATURE-6221 FEATURE-7061 Plat_Reg VZW_Reg common_validation_reg execute_davros execute_davros_brazil execute_davros_china execute_davros_india execute_femtocell_vzw
MCA-46287,"0. DUT has 2 SIM cards with different carrier name.
","0. 1. Check STK icon
2. Open STK app
3. Go back to settings, disable SIM1
4. Power phone off, insert a SIM card of different carrier then power phone on, drop down the notification bar
5. Check STK icon and text. Open STK app and check also the menus

6. For DS phones, repeat steps with both slots
","0. 1. There should be only one STK icon in app tray
2. DUT should show 2 entries with different name for each SIM
3. SIM1 STK menu should not show up in the list
4. STK shall be updated when notification bar is extended (e.g.: VIVO 11)
5. STK icons and texts shall be updated according carrier
",Dual SIM,DS Settings,"CBS - LATAM,UX",Android_O_updated BB8_not_applicable EDA_updated FEATURE-1160 Latam_Reg PRC_MSimSettings common_validation_reg execute_local_network network_dependent network_leverage
MCA-466,"0. 1. No google account registed on the phone
2. Network connection is avaiable     Notes: Erase userdata if Google account already exists on the device","0. 1. Launch Setup Wizard
2. Select create a new google account(Create three accounts: ""For myself"", ""For my child"" and ""To manage by my business"")
3. Input the account name, make sure the account name is already exist
4. Input another account name, make sure the account name is unique
5. Input a password and create","0. 2. User can freely choose three different accounts to create, and each interface is displayed normally
3. The setup wizard should prompt that the account is already exists
5. The account should be created

Verify that the phone has no crashes(anr/panic/tombstones/...)
Verify that the function works",Google Experience,Setup Wizard,"GMS,Settings,Setup Wizard",BB8 Core_Reg EDA_updated binary_leverage common_line common_validation_reg difficulty_level_medium no_efficiency10 non_network_dependent product_validation_reg
MCA-467,"0. 1. No google account registed on the phone
2. Network connection is avaiable
3. Prepare an existing google account.    Notes: Erase userdata if Google account already exists on the device","0. 1. Launch Setup Wizard
2. Select login with an existing google account
3. Input the account name and password
4. Confirm","0. 4 Can login the google account

Verify that the phone has no crashes(anr/panic/tombstones/...)
Verify that the function works",Google Experience,Setup Wizard,"Settings,Setup Wizard",BB8 Core_Reg binary_leverage common_line common_validation_reg difficulty_level_low no_efficiency10 non_network_dependent
MCA-467603,"0. Device connected on Wifi or with Data Connection available.
2. Additional configuration step used only in step 2.","0. Add an IMAP email account from the following servers:
-Lycos
-Zoho

Follow the steps below:
1. Add an account and select Personal (IMAP). During setup select 'MANUAL SETUP' (details on step 3) > Personal (IMAP) > add the password > edit the Incoming server > then edit the outgoing server > 'NEXT'  >  'NEXT'.
2. ZOHO Incoming Server Settings:

Username: platformbr01@zoho.com
password: platform2016
Server:imap.zoho.com
Port: 993
Security Type: SSL/TLS 

Outgoing Server Settings:

Username: platformbr01@zoho.com
password: platform2016
Server: smtp.zoho.com
Port: 465
Security Type: SSL/TLS
Username: platformbr01@zoho.com","0. Accounts should sync email fine after the setup.
1. Account is add without any issue ",Email,Composer,"Enterprise,WiSL - Wifi",BB8 Brazil_Support Core_Reg EDA India_Support binary_leverage common_line common_validation_reg difficulty_level_high non_network_dependent product_leverage
MCA-469,"0. Note: If application is not pre-loaded this case is not mandatory for Europe SW
3. Launch Google Map
4. From Homescreen, click on voice Input icon into Google Search box","1. Open a message, email, hangout, or any app that can input text with keyboard
2. Select the Voice Input icon on keyboard and say a few words/full phrase
3. From hard keyboard, click on voice Input icon and record ""starbuck"" or anything else
4. Say ""flowers"" near the device's microphone","2. words/full phrase must be recognized and correctly transcripted
3. Ensure the contents are recorded accuately; if you search for starbuck, then starbuck locations should display within the google map
4. Ensure the contents related to ""flowers"" are returned",GMS,Google Search,"Assistant,GMS",BB8_not_applicable GMS_Reg binary_leverage common_validation_reg no_efficiency non_network_dependent not_mandatory_for_europe
MCA-469631,,"0. Turn advanced calling off

1. Make a MO voice call to another number (Phone A)
2. On-call screen tap on Add button and make a call to another number (Phone B)
3. Merge both calls to make a conference

4. Press the end key to disconnect all calls
5. Now make another call to Phone B, at the same time you will receive an alert from Phone A

6. Answer the call

7. End all the calls by pressing the end key",7. Verify timer (all objects of the phone calls are shown correctly),PIM,Dialer,"CBS - Others,Call,Dialer,FW&HAL",BB8 EDA VZW_Reg common_validation_reg execute_local_network network_dependent network_leverage no_efficiency10
MCA-469632,"0. 1. The Device is VoLTE provisoned and activated and Wi-Fi Calling is activated.
2. One New SIM card with Wifi calling provisioned and Activated.
Note: For 2021Q2 or any latest build, Advance calling is removed from settings. Wi-Fi Calling Settings and Video On/Off Settings are under Call Settings.","0. Go to Settings > Advanced Calling > Wi-Fi Calling (all options must be accessible and wifi calling enabled)
1. Remove the SIM card and power down the DUT. Insert the new sim card and power up the DUT. Go to Settings > Advanced Calling
2. Go to Wifi Calling and switch off but don't confirm it, Press home menu
3. Go back to Wifi Calling on Advanced Calling","0. Check if the Wi-Fi Calling is enabled and shown correctly. ( VoLTE shall be turned on by default
VoWiFi shall be turned off by default)
1. After Detecting the NEW sim inserted, ""Activate VoWiFi Calling"" shall be shown in Advanced Call Settings
2. Device go to home screen
3. Wifi Calling must be enabled since it wasn't confirmed",VoLTE,WiFi Calling,"CBS - VZW,Call,Settings,VoLTE,WiFi Calling",BB8_not_applicable EDA FEATURE-6216 FEATURE-6220 FEATURE-6221 FEATURE-7061 Plat_Reg common_validation_reg execute_femtocell_vzw product_validation_reg
MCA-477,"0. 1. DUT has google account signed in
2. WiFi is connected

If Device was not shipped yet, must upload Private video instead of Normal video","0. Tap on the account in Youtube application and click on Video icon to select a video from camera or capture a new video

1. Receive MT SMS/MMS and MT Call while video is being uploaded
2. Set Youtube preference for upload as ""On any network"" and repeat steps 1~2 by uploading with 2G/3G/4G","0. On select on Video icon, user is allowed to capture new video or upload the existing video

Video upload progress is visible in Notification curtain

1. SMS/MMS/Call should not interrupt Video Upload",GMS,Youtube,GMS,BB8 GMS_Reg binary_leverage common_execute_local_network common_validation_reg difficulty_level_low low_pri_auto network_leverage
